"Year","Trade.Flow","Reporter","Commodity.Code","Trade.Value..US..","Group"
2010,"Imports","Rep. of Moldova",801,103,"СНГ, без Казахстана и Беларуси"
2010,"Imports","Rep. of Moldova",801,50,"СНГ, без Казахстана и Беларуси"
2010,"Imports","Rep. of Moldova",801,100,"СНГ, без Казахстана и Беларуси"
2010,"Imports","Rep. of Moldova",801,138,"СНГ, без Казахстана и Беларуси"
2010,"Exports","Ukraine",801,480,"СНГ, без Казахстана и Беларуси"
2010,"Exports","Ukraine",801,2046,"СНГ, без Казахстана и Беларуси"
2010,"Imports","Ukraine",801,1998,"СНГ, без Казахстана и Беларуси"
2010,"Exports","Ukraine",801,521,"СНГ, без Казахстана и Беларуси"
2010,"Exports","Ukraine",801,327,"СНГ, без Казахстана и Беларуси"
2010,"Exports","Ukraine",801,936,"СНГ, без Казахстана и Беларуси"
2010,"Imports","Armenia",801,211,"СНГ, без Казахстана и Беларуси"
2010,"Imports","Armenia",801,338,"СНГ, без Казахстана и Беларуси"
2011,"Exports","Ukraine",801,1121,"СНГ, без Казахстана и Беларуси"
2011,"Exports","Ukraine",801,33,"СНГ, без Казахстана и Беларуси"
2011,"Exports","Ukraine",801,1031,"СНГ, без Казахстана и Беларуси"
2011,"Exports","Ukraine",801,1547,"СНГ, без Казахстана и Беларуси"
2011,"Exports","Ukraine",801,1083,"СНГ, без Казахстана и Беларуси"
2011,"Imports","Armenia",801,984,"СНГ, без Казахстана и Беларуси"
2011,"Imports","Armenia",801,239,"СНГ, без Казахстана и Беларуси"
2012,"Exports","Ukraine",801,1031,"СНГ, без Казахстана и Беларуси"
2012,"Exports","Ukraine",801,5,"СНГ, без Казахстана и Беларуси"
2012,"Exports","Ukraine",801,514,"СНГ, без Казахстана и Беларуси"
2012,"Exports","Ukraine",801,1123,"СНГ, без Казахстана и Беларуси"
2012,"Exports","Ukraine",801,3,"СНГ, без Казахстана и Беларуси"
2012,"Imports","Kyrgyzstan",801,410,"СНГ, без Казахстана и Беларуси"
2012,"Imports","Kyrgyzstan",801,190,"СНГ, без Казахстана и Беларуси"
2012,"Imports","Kyrgyzstan",801,190,"СНГ, без Казахстана и Беларуси"
2012,"Imports","Kyrgyzstan",801,92,"СНГ, без Казахстана и Беларуси"
2013,"Imports","Armenia",801,131,"СНГ, без Казахстана и Беларуси"
2013,"Exports","Ukraine",801,66,"СНГ, без Казахстана и Беларуси"
2013,"Exports","Ukraine",801,66,"СНГ, без Казахстана и Беларуси"
2013,"Exports","Ukraine",801,45,"СНГ, без Казахстана и Беларуси"
2013,"Exports","Ukraine",801,3,"СНГ, без Казахстана и Беларуси"
2013,"Exports","Ukraine",801,8,"СНГ, без Казахстана и Беларуси"
2013,"Exports","Ukraine",801,23,"СНГ, без Казахстана и Беларуси"
2013,"Imports","Kyrgyzstan",801,4017,"СНГ, без Казахстана и Беларуси"
2013,"Imports","Kyrgyzstan",801,436,"СНГ, без Казахстана и Беларуси"
2013,"Imports","Kyrgyzstan",801,828,"СНГ, без Казахстана и Беларуси"
2013,"Imports","Kyrgyzstan",801,828,"СНГ, без Казахстана и Беларуси"
