"Classification","Year","Period","Period.Desc.","Aggregate.Level","Is.Leaf.Code","Trade.Flow.Code","Trade.Flow","Reporter.Code","Reporter","Reporter.ISO","Partner.Code","Partner","Partner.ISO","X2nd.Partner.Code","X2nd.Partner","X2nd.Partner.ISO","Customs.Proc..Code","Customs","Mode.of.Transport.Code","Mode.of.Transport","Commodity.Code","Commodity","Qty.Unit.Code","Qty.Unit","Qty","Alt.Qty.Unit.Code","Alt.Qty.Unit","Alt.Qty","Netweight..kg.","Gross.weight..kg.","Trade.Value..US..","CIF.Trade.Value..US..","FOB.Trade.Value..US..","Flag"
"HS",2010,201001,"January 2010",4,0,2,"Exports",440,"Lithuania",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,801,"Nuts, edible; coconuts, Brazil nuts and cashew nuts, fresh or dried, whether or not shelled or peeled",NA,NA,NA,NA,NA,NA,42409,NA,45735,NA,NA,0
"HS",2010,201001,"January 2010",4,0,2,"Exports",97,"EU-28",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,801,"Nuts, edible; coconuts, Brazil nuts and cashew nuts, fresh or dried, whether or not shelled or peeled",NA,NA,NA,NA,NA,NA,302086,NA,416670,NA,NA,0
"HS",2010,201002,"February 2010",4,0,2,"Exports",97,"EU-28",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,801,"Nuts, edible; coconuts, Brazil nuts and cashew nuts, fresh or dried, whether or not shelled or peeled",NA,NA,NA,NA,NA,NA,318782,NA,617616,NA,NA,0
"HS",2010,201002,"February 2010",4,0,2,"Exports",440,"Lithuania",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,801,"Nuts, edible; coconuts, Brazil nuts and cashew nuts, fresh or dried, whether or not shelled or peeled",NA,NA,NA,NA,NA,NA,46477,NA,33506,NA,NA,0
"HS",2010,201003,"March 2010",4,0,2,"Exports",97,"EU-28",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,801,"Nuts, edible; coconuts, Brazil nuts and cashew nuts, fresh or dried, whether or not shelled or peeled",NA,NA,NA,NA,NA,NA,207138,NA,417607,NA,NA,0
"HS",2010,201003,"March 2010",4,0,2,"Exports",440,"Lithuania",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,801,"Nuts, edible; coconuts, Brazil nuts and cashew nuts, fresh or dried, whether or not shelled or peeled",NA,NA,NA,NA,NA,NA,31596,NA,34531,NA,NA,0
"HS",2010,201004,"April 2010",4,0,2,"Exports",440,"Lithuania",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,801,"Nuts, edible; coconuts, Brazil nuts and cashew nuts, fresh or dried, whether or not shelled or peeled",NA,NA,NA,NA,NA,NA,33452,NA,45810,NA,NA,0
"HS",2010,201004,"April 2010",4,0,2,"Exports",97,"EU-28",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,801,"Nuts, edible; coconuts, Brazil nuts and cashew nuts, fresh or dried, whether or not shelled or peeled",NA,NA,NA,NA,NA,NA,136949,NA,189346,NA,NA,0
"HS",2010,201004,"April 2010",4,0,2,"Exports",757,"Switzerland",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,801,"Nuts, edible; coconuts, Brazil nuts and cashew nuts, fresh or dried, whether or not shelled or peeled",NA,NA,NA,NA,NA,NA,230,NA,2736,NA,NA,0
"HS",2010,201005,"May 2010",4,0,2,"Exports",440,"Lithuania",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,801,"Nuts, edible; coconuts, Brazil nuts and cashew nuts, fresh or dried, whether or not shelled or peeled",NA,NA,NA,NA,NA,NA,27101,NA,19131,NA,NA,0
"HS",2010,201005,"May 2010",4,0,2,"Exports",97,"EU-28",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,801,"Nuts, edible; coconuts, Brazil nuts and cashew nuts, fresh or dried, whether or not shelled or peeled",NA,NA,NA,NA,NA,NA,61584,NA,50318,NA,NA,0
"HS",2010,201006,"June 2010",4,0,2,"Exports",97,"EU-28",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,801,"Nuts, edible; coconuts, Brazil nuts and cashew nuts, fresh or dried, whether or not shelled or peeled",NA,NA,NA,NA,NA,NA,39088,NA,73179,NA,NA,0
"HS",2010,201006,"June 2010",4,0,2,"Exports",440,"Lithuania",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,801,"Nuts, edible; coconuts, Brazil nuts and cashew nuts, fresh or dried, whether or not shelled or peeled",NA,NA,NA,NA,NA,NA,27380,NA,30394,NA,NA,0
"HS",2010,201007,"July 2010",4,0,1,"Imports",97,"EU-28",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,801,"Nuts, edible; coconuts, Brazil nuts and cashew nuts, fresh or dried, whether or not shelled or peeled",NA,NA,NA,NA,NA,NA,33,NA,308,NA,NA,0
"HS",2010,201007,"July 2010",4,0,2,"Exports",440,"Lithuania",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,801,"Nuts, edible; coconuts, Brazil nuts and cashew nuts, fresh or dried, whether or not shelled or peeled",NA,NA,NA,NA,NA,NA,27420,NA,20284,NA,NA,0
"HS",2010,201007,"July 2010",4,0,1,"Imports",440,"Lithuania",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,801,"Nuts, edible; coconuts, Brazil nuts and cashew nuts, fresh or dried, whether or not shelled or peeled",NA,NA,NA,NA,NA,NA,33,NA,306,NA,NA,0
"HS",2010,201007,"July 2010",4,0,2,"Exports",97,"EU-28",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,801,"Nuts, edible; coconuts, Brazil nuts and cashew nuts, fresh or dried, whether or not shelled or peeled",NA,NA,NA,NA,NA,NA,177337,NA,300151,NA,NA,0
"HS",2010,201008,"August 2010",4,0,2,"Exports",440,"Lithuania",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,801,"Nuts, edible; coconuts, Brazil nuts and cashew nuts, fresh or dried, whether or not shelled or peeled",NA,NA,NA,NA,NA,NA,61941,NA,48080,NA,NA,0
"HS",2010,201008,"August 2010",4,0,2,"Exports",97,"EU-28",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,801,"Nuts, edible; coconuts, Brazil nuts and cashew nuts, fresh or dried, whether or not shelled or peeled",NA,NA,NA,NA,NA,NA,68294,NA,61370,NA,NA,0
"HS",2010,201001,"January 2010",4,0,2,"Exports",276,"Germany",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,801,"Nuts, edible; coconuts, Brazil nuts and cashew nuts, fresh or dried, whether or not shelled or peeled",NA,NA,NA,NA,NA,NA,173,NA,2757,NA,NA,0
"HS",2010,201001,"January 2010",4,0,2,"Exports",608,"Philippines",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,801,"Nuts, edible; coconuts, Brazil nuts and cashew nuts, fresh or dried, whether or not shelled or peeled",NA,NA,NA,NA,NA,NA,180983,NA,217140,NA,NA,0
"HS",2010,201002,"February 2010",4,0,2,"Exports",608,"Philippines",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,801,"Nuts, edible; coconuts, Brazil nuts and cashew nuts, fresh or dried, whether or not shelled or peeled",NA,NA,NA,NA,NA,NA,457222,NA,553252,NA,NA,0
"HS",2010,201003,"March 2010",4,0,2,"Exports",276,"Germany",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,801,"Nuts, edible; coconuts, Brazil nuts and cashew nuts, fresh or dried, whether or not shelled or peeled",NA,NA,NA,NA,NA,NA,427,NA,6548,NA,NA,0
"HS",2010,201003,"March 2010",4,0,2,"Exports",608,"Philippines",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,801,"Nuts, edible; coconuts, Brazil nuts and cashew nuts, fresh or dried, whether or not shelled or peeled",NA,NA,NA,NA,NA,NA,76204,NA,92400,NA,NA,0
"HS",2010,201004,"April 2010",4,0,2,"Exports",276,"Germany",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,801,"Nuts, edible; coconuts, Brazil nuts and cashew nuts, fresh or dried, whether or not shelled or peeled",NA,NA,NA,NA,NA,NA,772,NA,10333,NA,NA,0
"HS",2010,201004,"April 2010",4,0,2,"Exports",608,"Philippines",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,801,"Nuts, edible; coconuts, Brazil nuts and cashew nuts, fresh or dried, whether or not shelled or peeled",NA,NA,NA,NA,NA,NA,203155,NA,244044,NA,NA,0
"HS",2010,201004,"April 2010",4,0,2,"Exports",604,"Peru",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,801,"Nuts, edible; coconuts, Brazil nuts and cashew nuts, fresh or dried, whether or not shelled or peeled",NA,NA,NA,NA,NA,NA,17563,NA,92018,NA,NA,0
"HS",2010,201005,"May 2010",4,0,2,"Exports",826,"United Kingdom",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,801,"Nuts, edible; coconuts, Brazil nuts and cashew nuts, fresh or dried, whether or not shelled or peeled",NA,NA,NA,NA,NA,NA,1100,NA,6016,NA,NA,0
"HS",2010,201005,"May 2010",4,0,2,"Exports",276,"Germany",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,801,"Nuts, edible; coconuts, Brazil nuts and cashew nuts, fresh or dried, whether or not shelled or peeled",NA,NA,NA,NA,NA,NA,224,NA,3013,NA,NA,0
